Id,Mz,Intensity,SpectrumId
62904678,41.0315,0.006167,2152350
62904679,42.0344,0.001626,2152350
62904680,43.0344,0.00864,2152350
62904681,44.039,0.002478,2152350
62904682,45.0094,0.007354,2152350
62904683,46.9869,0.007969,2152350
62904684,53.0164,0.00139,2152350
62904685,55.0463,0.021251,2152350
62904686,56.0725,0.009379,2152350
62904687,57.0619,0.002271,2152350
62904688,58.029,0.004979,2152350
62904689,59.0348,0.00973,2152350
62904690,60.0346,0.00226,2152350
62904691,61.0132,0.013207,2152350
62904692,67.0445,0.001436,2152350
62904693,69.0501,0.005138,2152350
62904694,71.0247,0.001088,2152350
62904695,72.0225,0.003839,2152350
62904696,73.0503,0.099046,2152350
62904697,74.0787,0.006586,2152350
62904698,75.0291,0.201447,2152350
62904699,76.0629,0.01452,2152350
62904700,77.0255,0.016704,2152350
62904701,78.0663,0.001753,2152350
62904702,83.0794,0.056096,2152350
62904703,84.113,0.005531,2152350
62904704,85.0634,0.003084,2152350
62904705,87.0158,0.008343,2152350
62904706,89.0383,0.052089,2152350
62904707,90.075,0.005021,2152350
62904708,91.0512,0.00643,2152350
62904709,95.0593,0.001052,2152350
62904710,99.0274,0.001793,2152350
62904711,101.0109,0.015498,2152350
62904712,103.044,0.076165,2152350
62904713,104.0706,0.004241,2152350
62904714,105.0512,0.003055,2152350
62904715,113.0185,0.001266,2152350
62904716,115.0072,0.002269,2152350
62904717,116.1002,0.001221,2152350
62904718,129.0349,0.002068,2152350
62904719,131.0594,0.002789,2152350
62904720,134.045,0.003987,2152350
62904721,143.0164,0.002506,2152350
62904722,159.1096,0.204711,2152350
62904723,160.1533,0.027052,2152350
62904724,161.1102,0.001422,2152350
62904725,174.0579,0.001351,2152350
62904726,175.0326,0.001238,2152350
62904727,191.0374,0.002505,2152350
62904728,207.0265,0.001024,2152350
62904729,214.0163,0.001693,2152350
62904730,221.0458,0.049294,2152350
62904731,223.0748,0.002202,2152350
62904732,263.1021,0.00129,2152350
62904733,265.1344,0.001451,2152350
